ISO,Country/Group,1.1.1) Internet users / % of households,1.1.2) Fixed-line broadband subscribers / Per 100 inhabitants,1.1.3) Mobile subscribers / Per 100 inhabitants,1.1.4) Gender gap in internet access / % difference,1.1.5) Gender gap in mobile phone access / % difference,1.2.1) Average fixed broadband upload speed / Kbps,1.2.2) Average fixed broadband download speed / Kbps,1.2.3) Average fixed broadband latency / ms,1.2.4) Average mobile upload speed / Kbps,1.2.5) Average mobile download speed / Kbps,1.2.6) Average mobile latency / ms,1.2.7) Bandwidth capacity / Bit/s per Internet user,1.3.1) Network coverage (min. 2G) / % of population,1.3.2) Network coverage (min. 3G) / % of population,1.3.3) Network coverage (min. 4G) / % of population,"1.3.4) Government initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best","1.3.5) Private sector initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best",1.3.6) Internet exchange points / Number of IXPs per 10 million inhabitants,1.4.1) Urban electricity access / % of population,1.4.2) Rural electricity access / % of population,"2.1.1) Smartphone cost (handset) / Score of 0-100, 100=most affordable",2.1.2) Mobile phone cost (prepaid tariff) / % of monthly GNI per capita,2.1.3) Mobile phone cost (postpaid tariff) / % of monthly GNI per capita,2.1.4) Fixed-line monthly broadband cost / % of monthly GNI per capita,"2.2.1) Average revenue per user (ARPU, annualized) / USD","2.2.2) Wireless operators' market share / HHI score (0-10,000)","2.2.3) Broadband operators' market share / HHI score (0-10,000)","3.1.1) Availability of basic information in the local language / Qualitative rating 0-2, 2=best","3.1.2) Concentration of websites using country-level domains / Qualitative rating 0-3, 3=best","3.1.3) Availability of e-Government services in the local language / Qualitative rating 0-2, 2=best","3.2.1) e-Finance content / Qualitative rating 0-2, 2=best",3.2.2) Value of e-finance / %,"3.2.3) e-Health content / Qualitative rating 0-3, 3=best",3.2.4) Value of e-health / %,3.2.5) e-Entertainment usage / %,"3.2.6) e-Commerce content / Score of 0-100, 100=best",3.2.7) Value of e-Commerce / %,4.1.1) Level of literacy / % of population,4.1.2) Educational attainment / Years of schooling,"4.1.3) Support for digital literacy / Qualitative rating 0-3, 3=best","4.1.4) Level of web accessibility / Qualitative rating 0-4, 4=best","4.2.1) Privacy regulations / Qualitative rating 0-2, 2=best",4.2.2) Trust in online privacy / %,4.2.3) Trust in Government websites and apps / %,4.2.4) Trust in Non-government websites and apps / %,4.2.5) Trust in information from social media / %,4.2.6) e-Commerce safety / %,"4.3.1) National female e-inclusion policies / Qualitative rating 0-4, 4=best","4.3.1.1) Comprehensive female e-inclusion plan / Qualitative rating 0-2, 2=best","4.3.1.2) Female digital skills training plan / Qualitative rating 0-1, 1=best","4.3.1.3) Female STEM education plan / Qualitative rating 0-1, 1=best","4.3.2) Government e-inclusion strategy / Qualitative rating 0-2, 2=best","4.3.3) National broadband strategy / Qualitative rating 0-2, 2=best","4.3.4) Funding for broadband buildout / Qualitative rating 0-1, 1=best","4.3.5) Spectrum policy approach / Qualitative rating 0-2, 2=best","4.3.5.1) Technology-neutrality policy for spectrum use / Qualitative rating 0-1, 1=best","4.3.5.2) Unlicensed spectrum policy / Qualitative rating 0-1, 1=best","4.3.6) National digital identification system / Qualitative rating 0-2, 2=best",BG1) Nominal GDP / USD billions,BG2) Population / Millions,BG3) Urbanization rate / % of population,BG4) GNI per capita / US$ per person,"BG5) GINI coefficient / Score, 0-100; 0 is perfect equality; 100 is perfect inequality",BG6) Population under the poverty line / % of population,BG7) Total electricity access / % of population,BG8) Cable landing stations / Number of cable landing stations per 10 million inhabitants,BG9) Percentage of schools with Internet access / % of schools,"BG10) Global Peace Index / Score, 1-5; 1 = best","BG11) Democracy Index / Score, 0-10; 10 = best","BG12) Corruption Perceptions Index / Score, 0-100; 100 = best","BG13) EIU Business Environment Rankings / Score, 1-10, 10 = high","BG14) UN E-Government Development Index / Score, 0-1; 1 = best",BG15) Internet users (population) / Millions,BG16) Offline population / Millions,"BG17) Plan addressing female-driven innovation and women-owned businesses / Qualitative rating 0-1, 1=best",BG18) Internet access gender gap / Difference in percentage points,BG19) Mobile phone access gender gap / Difference in percentage points,BG20) Internet users (percent of population) / % of population,BG21) Male internet users / % of male population,BG22) Female internet users / % of female population,BG23) Male mobile phone subscribers / % of male population,BG24) Female mobile phone subscribers / % of female population,BG25) Total fixed line broadband subscribers / Number of subscriptions
DE,Germany,87.91682139,40.45218767,129.0884756,1.149425287,3.529411765,13321.95765,54124.38827,25.98936611,9894.329467,34777.76666,32.12431727,108195.3061,99,96.5,96.5,2,2,2.296017015,100,100,97.18977105,0.15515801,0.999073228,1.086728022,210.5889,3357.14,2354.62,2,2,2,2,38,3,54,82,93.5,48,100,13.2,2,2,2,48,26,18,14,46.93877551,3,2,0,1,2,2,1,2,1,1,2,3705.6,82.752,75.716,43490,31.7,0,100,1.208430008,94.36687449,1.531,8.608543417,81,8.3,0.8765,71.016605,9.665746,1,-1,-3,84.39550077,88,87,88,85,33217000
GH,Ghana,32.51075586,0.197026881,127.4614479,66.66666667,19.67213115,12731.85428,11420.23255,56.93968958,4911.707983,8613.5625,54.91255252,9615.321177,96.79,80,34.86,2,1,0.346860909,96.83,68.77626959,84.33190283,0.55534613,4.983274884,18.51153765,153.6,3653.67,5283.22,2,2,1,2,53.7037037,2,70.37037037,79.62962963,35,29.62962963,76.5759,6.9,3,1,2,40.74074074,61.11111111,42.59259259,18.51851852,59.57446809,1,0,0,1,2,0,1,1,0,1,2,47.3561,28.83,55.407,1490,42.4,3.5,84.32,1.734304544,33.59849485,1.772,6.68697479,40,5.273668269,0.539,7.958675,20.0747,0,-14,-12,34.66600065,35,21,73,61,56810
GR,Greece,69.12621789,33.85609188,115.9262469,9.090909091,3.333333333,2271.20509,15389.56053,40.43833997,3649.608108,15108.52437,31.2316008,68306.92099,99.9,99.6,98,2,2,0.896137647,100,100,97.29256601,0.635394487,0.803648935,1.389645132,127.9732,3649.02,2926.84,2,3,2,2,26,3,70,96,80,30,95.29287,10.5,3,3,2,36,28,30,26,70.21276596,2,2,0,0,0,2,1,2,1,1,2,200.17,11.159,78.67,18090,36,0.8,100,8.065238821,71.96749726,2.02,7.291199813,48,5.8,0.7833,7.072534,3.846925,0,-6,-3,69.08791547,72,66,93,90,3778263
GT,Guatemala,20.5,3.051415323,118.1687909,28.57142857,15.625,2854.49212,6381.076469,62.15715669,7254.733042,8371.606773,51.69280622,24124.42831,100,95,40.35,2,2,0,99.58765096,84.20311941,92.18016939,3.982216611,6.702804831,5.993437121,91.2,3780.26,4813.48,2,1,2,2,41.17647059,1,60.78431373,96.07843137,31.41639027,31.37254902,79.07421,6.3,3,2,1,56.8627451,43.1372549,39.21568627,35.29411765,46.80851064,0,0,0,0,1,0,0,2,1,1,2,75.6197,16.92,50.68,4060,48.3,2.5,92,2.955082742,44.0131,2.214,5.85690943,28,5.438148037,0.4974,4.409997,12.262959,0,-10,-10,34.50932609,45,35,74,64,506000
GN,Guinea,7.65,0.008873885,87.12541316,77.77777778,12.67605634,8228.335483,16526.65764,55.18958665,4210.087075,3864.819348,68.65637717,601.7448698,99.1,39.1,10.3,0,0,0,46.15421466,0.985914275,71.25624048,4.714618043,6.289834412,11.83465345,54,4358.1,5591.68,2,0,0,1,46,1,66,82,7,28,30.47279,2.6,0,3,2,42,52,42,36,55.55555556,0,0,0,0,2,2,1,1,1,0,2,10.83,12.717,35.793,820,33.7,10.3,17.15300403,0.786348982,1.650652619,2.101,3.137838469,27,4.75236868,0.2348,0.236932,12.71019,0,-14,-9,9.8,32,18,80,71,1100
HU,Hungary,82.35109734,30.41266324,123.7552537,8.695652174,4.597701149,30729.03146,79024.42041,21.58688791,17683.40861,50259.42275,27.81527052,156928.6499,99,99,99,2,2,2.0572322,100,100,97.22739143,0.339754986,0.766571621,2.023580695,157.2171,3616.38,2455.04,2,3,1,2,62.26415094,2,66.03773585,90.56603774,79,32.0754717,99.38088,12,3,0,2,32.0754717,22.64150943,32.0754717,9.433962264,43.39622642,2,2,0,0,2,2,1,2,1,1,2,138.92,9.7218,72.143,12870,30.4,0.3,100,0,98.6881,1.531,6.639939309,45,6.8,0.7265,7.874733,1.946585,0,-6,-4,76.75054712,75,69,91,87,2956585
IN,India,22.63874,1.333354912,87.2849181,150,32.20338983,16838.01255,20727.89192,31.68229606,3898.257046,8235.910448,69.60186244,15629.76819,97,88,88,2,2,0.134410609,98,82.13899874,94.9260861,1.832582688,1.260414172,4.480209059,22.4824,1725.55,2911.74,2,1,2,2,39.28571429,2,73.21428571,83.92857143,44,37.5,72.2253,6.3,2,3,2,71.42857143,73.21428571,32.14285714,30.35714286,64.81481481,3,1,1,1,2,2,1,2,1,1,2,2600.2,1339.18,33.525,1820,35.1,4.3,87.46829517,0.149345122,24.43130005,2.504,7.23050887,40,5.5,0.5669,462.124989,864.676587,1,-12,-19,29.54716289,20,8,78,59,17856024
ID,Indonesia,57.3294094,2.289738408,130,8.823529412,5.970149254,9853.867862,15616.85298,31.19558619,8395.445927,9535.956503,51.70581689,24620.80337,98.6,93.78,90.42,2,1,0.191878917,100,88.5975166,92.92544157,1.393337315,1.536596711,7.942022694,29.4116,3114.78,4251.92,2,2,1,1,42,2,66,96,36,26,95.37697,7.9,3,0,2,74,60,46,34,64.44444444,2,2,0,0,1,2,1,2,1,1,2,1015.5,260.581,55.255,3540,39.5,0.9,94.83,6.101749552,51.20673,1.853,6.387885154,37,5.7,0.5258,53.236719,207.344381,0,-3,-4,32.2924419,37,34,71,67,6044712
IR,Iran,70.0239273,12.39209402,107.3232083,0,6.666666667,5864.574718,9042.813633,35.07460132,7301.597418,16326.66765,53.06688608,15272.22065,96.5,77,74,2,2,0.492853622,100,96.29799033,80.64176154,0.468169986,1.644398119,1.02061057,78.215,4924.5,6027.02,2,2,2,2,38.88888889,3,62.96296296,94.44444444,69,29.62962963,87.17253,8.8,3,2,2,16.66666667,48.14814815,27.77777778,16.66666667,32.65306122,4,2,1,1,2,2,1,1,1,0,2,460.976,81.16,74.428,5400,38.8,0,99.0520634,1.355347462,36.26206,2.439,2.450863679,30,4,0.6083,39.149103,40.894043,1,0,-6,60.41635615,61,61,96,90,10057769
IE,Ireland,88.99896325,29.43000724,102.8816649,-7.446808511,-4.12371134,19355.93893,52886.50702,28.3701335,12922.71564,39807.98061,29.8724749,179670.0508,99,95,90,0,2,6.300535546,100,100,99.5647408,0.489154991,1.019328738,1.100598731,327.6,3579.09,2259.36,2,2,2,2,45.09803922,3,60.78431373,90.19607843,90,49.01960784,100,12.3,3,0,2,39.21568627,41.17647059,35.29411765,25.49019608,66,4,2,1,1,2,2,1,2,1,1,0,331.62,4.7615,63.83,55290,31.8,0.2,100,31.50267773,92.3030411,1.393,9.154761905,74,7.9,0.8287,3.817392,0.896601,1,7,4,84.51538863,87,94,93,97,1401356
IL,Israel,75.36946543,28.14372769,126.6587916,-2.127659574,-1,6099.351881,45801.40368,21.46935461,12832.05078,24801.36374,32.64062079,155765.4697,99,99,82,2,2,1.14825064,100,100,96.78496482,0.53669089,0.796522663,0.885539969,195.7567,2304.81,2726.14,2,3,2,1,50,3,70,84,81,24,97.764,12.8,3,2,2,26,58,46,28,57.44680851,3,2,0,1,2,1,0,2,1,1,2,349.57,8.7089,92.274,37270,41.4,0.3,100,5.741253201,85,2.764,7.787581699,62,7.6,0.7998,5.941174,2.251289,0,2,1,81.58118359,92,94,99,100,2342000
IT,Italy,71.7010564,27.94205516,130,12.19512195,10,11571.35161,32044.01796,33.59188455,11381.99225,32534.14596,36.21028034,84803.04388,100,100,98,2,2,1.684636119,100,100,97.44417055,0.649542463,1.327786138,1.739378921,190.3021,3392.82,2704.48,2,3,2,2,45.09803922,3,64.70588235,96.07843137,74,45.09803922,99.01579,10.9,3,2,2,37.25490196,23.52941176,13.7254902,17.64705882,54,3,2,1,0,1,2,1,2,1,1,2,1941,59.36,69.257,31020,35.4,1.4,100,4.885444744,88.25217,1.766,7.97770775,50,6.7,0.8209,39.211518,20.589486,0,-10,-9,61.30114276,92,82,99,90,16586376
JM,Jamaica,39.54428465,8.273192497,106.9516337,10.9375,1.111111111,3974.111426,15612.00724,49.25486886,3944.614723,10482.77474,59.8318272,47717.14027,100,95,45,2,0,3.460207612,100,95.55041381,92.64737633,1.381961749,3.284558252,8.737946715,183.6,5722,4968.24,2,0,1,2,46,3,76,84,65,18,88.4999,9.6,3,3,0,40,66,42,30,55,3,2,0,1,2,0,1,2,1,1,2,14.193,2.89,55.378,4750,45.5,0.4,98.01450565,27.6816609,72.78195,2.068,7.290499533,44,5.835648037,0.4697,1.216098,1.587264,0,-7,-1,44.36685637,71,64,91,90,239120
JP,Japan,96.24180846,32.2,130,15.15151515,5.617977528,120149.9215,95125.55181,26.16222421,9807.144259,30773.07939,63.66003539,21611.77511,99.9,99.9,99,2,2,0.705970945,100,100,97.90257809,1.468638539,1.169001174,0.986085862,453.9877,3574.78,1986.96,2,2,2,2,28.84615385,3,48.07692308,92.30769231,93.6,44.23076923,100,12.5,3,3,2,44.23076923,42.30769231,30.76923077,19.23076923,43.1372549,3,2,0,1,2,2,1,2,1,1,2,4874.5,127.484,94.475,38550,32.1,0.2,100,2.980766214,98.74923734,1.391,7.879785247,73,7.5,0.8783,115.111595,11.21212,1,-10,-5,90.87304215,76,66,94,89,40390640
JO,Jordan,79,4.828887068,103.835148,-5.063291139,6.896551724,17095.93502,22589.28721,34.34729743,12133.20567,16468.80936,32.15768815,27060.82946,99,99,87,2,2,0,100,100,88.36053779,1.486304763,2.620373403,8.450704063,120,3574.72,4931.52,2,0,2,2,38,3,66,82,50,16,98.01435,10.1,2,2,2,50,56,32,18,48.64864865,2,2,0,0,2,1,1,1,1,0,2,40.0683,10.05,90.747,3980,33.7,0,100,1.990049751,91.37056,2.104,3.873646125,48,5.575472028,0.5575,3.536871,4.210929,0,4,-6,62.30219257,75,79,93,87,456610
KZ,Kazakhstan,84.8545575,14.13661535,130,-2.666666667,-2.197802198,23548.26619,24695.46477,37.73913253,11294.68943,17639.07458,38.46218756,84543.57565,96.6,87.3,72.5,2,2,0.549329818,100,100,94.63248479,0.093307226,0.548367267,0.900414726,35.4748,3408.98,5013.46,2,3,1,1,38.88888889,2,62.96296296,94.44444444,66,29.62962963,99.78785,11.7,3,3,2,16.66666667,48.14814815,27.77777778,16.66666667,32.65306122,2,2,0,0,2,2,1,2,1,1,2,158.11,18.204,53.16,7890,26.9,0,100,0,97,1.974,3.0571662,31,5.4,0.7597,9.961519,7.893865,0,2,2,76.42674823,73,75,89,91,2573500
KE,Kenya,29.95181778,0.58008813,86.14733981,25.53191489,1.162790698,7974.787592,12748.27958,42.94190365,6975.369599,12760.88321,42.82974898,106974.6327,95.3,85,25,2,2,0.402414487,89.54076603,67.58923408,80.42641844,2.015337868,5.416056006,37.88029057,63.0733,5423.54,2644.04,2,3,2,2,55.76923077,2,67.30769231,94.23076923,45,28.84615385,78.0234,6.3,3,0,0,46.15384615,51.92307692,46.15384615,23.07692308,56.81818182,1,0,0,1,2,0,1,2,1,1,2,74.9399,49.7,26.562,1440,40.8,11.6,73.42,1.408450704,29.80995001,2.3,5.112114846,28,4.263881119,0.4541,21.248977,26.002472,1,-12,-1,16.6,59,47,87,86,288303
KW,Kuwait,99.70019126,2.742082249,124.1713824,0,-1,12352.09672,13754.51918,24.33956398,16215.8326,21279.50399,27.0608197,112408.9373,100,99.8,99.6,2,2,0,100,100,94.0771795,0.629307947,1.353594958,0.356607827,349.2174,3370.14,2963.02,2,1,1,2,45.09803922,2,50.98039216,82.35294118,63,33.33333333,96.11771,7.3,3,2,2,35.29411765,47.05882353,49.01960784,39.21568627,55.55555556,2,2,0,0,0,1,1,0,0,0,2,119.5342,4.498,100,31430,37.7,0,100,8.892841263,84.28622521,1.799,3.849136321,39,6.053863636,0.7388,3.20211,0.805036,0,0,1,97.99998933,94,94,99,100,113427
LR,Liberia,3,0.173392001,67.55790155,38.0952381,13.46153846,9008.690758,16608.78303,56.66246911,3774.779341,2731.133047,71.05764283,3295.916293,76,63,4.4,0,0,2.113316004,16.4,3.170418656,31.17124539,15.78947368,6.486486486,8.685798253,37.2,4369.05,6179.38,2,1,1,2,52.94117647,1,68.62745098,86.2745098,18,27.45098039,47.60014,4.4,0,2,0,49.01960784,60.78431373,47.05882353,27.45098039,70.83333333,0,0,0,0,2,0,1,2,1,1,2,2.158,4.7319,50.697,380,33.2,11.7,9.87741951,2.113316004,4.96689,1.931,5.226377218,31,4.75236868,0.2737,0.395063,4.220159,0,-8,-7,7.319106411,29,21,59,52,8000
MG,Madagascar,8.2,0.098009866,34.14232861,26.66666667,0,24557.08611,29720.89945,32.36552896,4405.187051,4485.678116,92.82475393,14269.94613,78.01,63.01,23.08,2,0,0.396620791,51.7,6.883188716,51.48824559,2.888216398,28.23483492,191.5850211,46.8,4171.14,5764.887368,2,1,1,1,32,2,58,78,29,26,64.6563,6.1,1,3,2,46,42,34,32,69.76744186,0,0,0,0,1,0,1,1,1,0,1,11.5,25.213,36.522,400,42.6,39,23.25118453,1.586483163,2.98013245,1.766,5.108239963,24,4.75236868,0.2792,1.066397,23.849425,0,-4,0,9.8,19,15,34,34,25062
MW,Malawi,11.457254,0.049511054,41.73804958,160,14.89361702,8702.646348,16840.81875,53.88850341,4622.853234,4984.043076,87.39904252,3884.143325,82,50,30,0,1,0.537056928,49.2,3.22353899,0,17.97274305,20.17300368,25.67534722,27,5033.62,5764.887368,2,1,0,2,40,2,68,84,17,24,65.96383,4.4,1,1,2,38,52,34,28,60,1,0,0,1,1,2,1,2,1,1,2,6.3033,18.62,16.714,320,45.5,33.6,10.90804468,0,10.17028843,1.811,5.489169001,31,4.826961067,0.2708,1.160839,16.588987,0,-16,-7,11.47,26,10,54,47,9220
MY,Malaysia,85.65329111,8.499170131,130,5.333333333,4.494382022,15224.9992,21878.87434,37.5536125,9130.04048,16728.31692,44.94935686,42516.01186,96.2,96.2,92,2,1,0.316215533,98.61991916,97,88.04108386,0.122604606,0.932407918,1.16474378,127.5352,2530.77,7830.14,2,2,2,2,62.74509804,3,60.78431373,94.11764706,77,27.45098039,94.63699,10.1,3,1,2,60.78431373,56.8627451,33.33333333,29.41176471,46.93877551,3,1,1,1,2,2,1,2,1,1,2,314.7072,31.624,76.118,9650,41,0,98.22218041,8.537819378,100,1.619,6.544631186,47,7.3,0.7174,21.090777,9.660825,1,-6.5,-4,80.14047901,79,75,93,89,2687800
ML,Mali,10.60586004,0.119167515,112.3527654,87.5,37.28813559,8358.677723,16460.99064,54.22929763,4503.929779,4643.53371,72.28882742,557.6059881,100,23,0,0,0,0.57753393,83.1,6.415985331,67.04053217,12.58330854,14.08323567,26.50526693,21.72,5178.02,6534.58,2,1,1,1,44,1,56,70,23,28,33.06887,2.3,3,1,2,50,48,32,34,72.72727273,1,0,0,1,1,1,1,1,1,0,2,15.288,17.315,41.572,770,33,15.5,38.29506391,0,2.871395962,2.686,5.643230626,31,4.75236868,0.2424,2.21245,15.922385,0,-14,-22,11.11218649,30,16,81,59,21444
MX,Mexico,50.92262118,13.26369269,88.51342699,28.94736842,8.196721311,9376.966341,20682.77572,43.23223602,12852.0436,16192.00457,50.66341176,37330.75532,99.9,95,58,2,2,0.232198142,100,100,95.00650571,1.104583781,1.757895661,2.569998264,85.0278,4816.32,3295.64,2,2,2,2,55.76923077,3,65.38461538,98.07692308,42,50,94.54559,8.6,3,3,2,51.92307692,53.84615385,40.38461538,34.61538462,65.30612245,2,0,1,1,2,1,1,2,1,1,2,1151.8,129.2,79.803,8610,43.4,0.6,100,0.541795666,53.4086,2.558,6.407119514,29,6.6,0.6818,58.016997,70.615007,0,-11,-5,63.85224909,49,38,66,61,17131820
MN,Mongolia,22.99086401,9.269366738,126.3528292,-1.388888889,-1.030927835,22908.32167,21229.96257,48.41277131,10545.79554,15973.81955,56.65246068,162562.3934,99,95,21,2,2,3.246753247,98.99758272,73.23626743,78.96634215,2.466715842,1.868174023,2.137820396,72,3103.44,2333.24,2,3,1,2,58.49056604,2,67.9245283,90.56603774,64,24.52830189,98.36764,9.8,1,2,0,32.0754717,45.28301887,24.52830189,22.64150943,57.69230769,2,2,0,0,1,2,1,1,1,0,2,11.488,3.08,68.363,3290,32.3,0.1,90.8474754,0,82.79743,1.821,6.499066293,36,5.637583616,0.5824,1.069693,1.936751,0,1,1,22.2657705,71,72,96,97,285093
MA,Morocco,70.2184201,3.858095143,122.8779577,24.48979592,9.638554217,2728.80921,15493.16242,54.31657733,7524.877987,13721.26219,39.70442014,25053.73146,99.6,96,93,2,2,0.279798545,100,97.4,85.25211125,2.164571353,4.633692562,4.285851278,55.8342,3502.82,9940.18,2,2,2,1,28,1,66,80,43,16,71.71055,5,3,1,2,32,70,46,36,51.28205128,0,0,0,0,0,2,1,2,1,1,2,110.0455,35.74,61.908,2860,39.5,0.2,99.009608,1.11919418,89.12952,1.979,4.874813259,40,5.017351399,0.5214,20.068556,14.748509,0,-12,-8,61.76221201,61,49,91,83,1378867
MZ,Mozambique,16.1682915,0.140393114,40.0268713,80,5.357142857,3530.427638,4154.148267,55.43195659,2378.960216,5485.150295,71.11394892,1178.512838,80,40,21.87295473,0,0,0.337052142,56.87985234,12.19807631,42.53509757,7.189552962,9.198070257,29.20755891,46.68,3441.04,5764.887368,2,3,0,1,36,1,60,76,28.23221515,22,58.83655,3.5,1,2,2,58,56,40,28,71.73913043,1,0,0,1,2,2,1,0,0,0,2,12.337,29.669,35.455,420,54,27.9,28.04,0.674104284,10.77544886,2.056,4.017787115,25,4.884211538,0.3195,1.834337,26.917025,0,-8,-3,17.52123909,18,10,59,56,41653
MM,Myanmar,24.37773309,0.758717218,89.84575762,27.02702703,6.493506494,9580,8820,52,14370,22720,109.61,6218.74411,90.45,90.45,75,0,2,0.187371182,78.54306513,45.61722752,80.75669011,0.703472389,9.911248241,13.23180416,42,3921.81,5331.28,2,1,2,2,38.46153846,3,63.46153846,86.53846154,23,28.84615385,75.5512,4.7,2,1,2,55.76923077,42.30769231,30.76923077,28.84615385,51.92307692,0,0,0,0,2,0,1,2,1,1,1,65.319,53.37,30.322,1190,38.1,1.5,55.601,0.562113547,4.9706,2.296,3.833590103,30,5.406750283,0.3328,1.353649,53.009777,0,-10,-5,25.07330424,47,37,82,77,404932
NA,Namibia,29.52681479,2.521673033,104.5015104,14.89361702,-3.571428571,7683.212784,7905.852704,54.90302333,9090,13090,58.11018596,15635.357,100,53,39,0,0,3.95256917,78,34,71.29415728,2.723739348,2.696792839,9.778028307,55.56,8907.28,6590.48,2,2,1,1,62.26415094,2,73.58490566,84.90566038,42,22.64150943,90.8205,6.7,3,1,0,52.83018868,69.81132075,37.73584906,24.52830189,66.66666667,4,2,1,1,1,0,1,2,1,1,2,13.255,2.53,49.005,4600,59.1,4.6,55.5622,7.90513834,30.76835884,1.806,6.310154062,51,4.75236868,0.4554,0.392181,2.1218,0,-7,3,31.03334594,54,47,81,84,63894
NP,Nepal,15,0.77350782,123.1748796,46.15384615,9.210526316,11430.34454,13929.05314,25.65662908,4020,7780,56.96400429,3855.354572,92.47,54.1,15.47,2,0,0.341296928,98.92179352,88.72915056,0,1.017387771,7.44649805,4.360233302,36,4555.73,2883.42,2,0,2,1,49.09090909,3,61.81818182,76.36363636,35,38.18181818,64.66364,4.1,3,2,2,76.36363636,67.27272727,32.72727273,29.09090909,59.18367347,2,1,1,0,2,2,1,2,1,1,2,24.791,29.3,19.336,790,32.8,3.1,90.7,0,6.483835815,2.053,5.180742297,31,6.15191668,0.4748,4.962323,23.888394,1,-12,-7,19.68876384,38,26,83,76,224184
NL,Netherlands,96.15384615,42.32699133,120.5216877,3.260869565,4.597701149,36324.14512,69574.15521,22.3820803,16026.63753,52255.4827,32.05054488,194920.2685,100,99,99,2,2,5.852402411,100,100,96.13971536,0.351390812,0.465082389,1.024889868,309.2369,3432.93,4130.28,2,1,2,2,48,3,58,76,95.9,40,100,11.9,3,4,2,36,48,28,22,48,3,2,1,0,1,2,1,2,1,1,2,832.94,17.087,91.682,46180,28.2,0,100,5.852402411,100,1.574,8.889005602,82,8.3,0.8757,15.915076,1.064653,0,-3,-4,93.19727891,95,92,91,87,7210800
NE,Niger,15.56814856,0.040274991,40.87508383,200,50,8786.560163,17119.85517,52.57447573,5052.39276,6137.802099,69.2976757,5855.804606,92,24,0,0,0,0,68.17,1.284166169,0,2.863223279,86.68252957,143.161164,49.2,3249.16,5764.887368,2,0,1,1,48,1,68,78,3,22,19.1026,1.7,3,2,1,38,50,34,38,52.27272727,1,0,0,1,0,1,1,1,0,1,1,8.33,21.48,16.35,360,34.3,13.5,12.22,0,4.614591151,2.359,3.761414566,33,4.75236868,0.1095,0.439164,20.276121,0,-14,-22,10.22431156,21,7,66,44,8650
NG,Nigeria,15.225,0.038768626,75.91962422,28.125,16.90140845,6171.811762,6410.064338,69.60663373,3902.446959,7467.940896,95.70547022,11416.35064,92.7,54,50.84,2,2,0.052383447,79.8,40.17025775,65.38601704,1.886663629,5.079506207,14.90464267,42.8679,2818.75,2612.96,2,2,2,2,50,2,65.51724138,86.20689655,46,17.24137931,59.56808,6,1,2,0,55.17241379,58.62068966,41.37931034,29.31034483,70.58823529,2,0,1,1,2,2,1,2,1,1,2,376.39,190.9,49.495,2080,43,21.8,59.79450981,0.471451021,18.02537094,2.873,4.444257703,27,4.4,0.3807,86.219965,100.767598,1,-9,-12,25.67,41,32,83,71,74004
OM,Oman,86.10606345,7.526019884,130,7.132243685,6.096555233,6793.628217,15079.20478,45.05508705,12805.00658,19731.46823,41.92233417,58499.37319,99.1,99,92.1,2,2,0,99.9,92.85382904,90.099116,0.432262643,1.597582325,3.241969821,235.7024,5087.12,5096.82,2,2,2,2,28,3,68,76,60,36,93.97165,8.1,3,2,2,34,42,32,36,56.81818182,3,2,1,0,2,2,1,2,1,1,2,72.6427,4.56,83.56,14440,30.7,0,98.74160949,37.28070175,86.97478992,1.984,3.039799253,44,6.3902944,0.6846,3.31026,1.344211,0,-3.111111111,-4.777777778,76.85,72.1,67.3,93.77777778,89,348926
PK,Pakistan,22.14266319,0.928692806,73.35732631,240,214.8148148,4688.808902,6217.487372,56.02208205,8672.749618,10917.55794,71.33028807,16461.7353,88,72,67,2,0,0.050761421,89.64418194,64.40081063,82.03733907,1.152328487,4.269581368,5.941693759,25.1431,2787.71,7768.28,2,3,1,2,30.35714286,2,62.5,87.5,24,25,56.44031,5.1,2,0,2,67.85714286,51.78571429,26.78571429,26.78571429,70.45454545,2,1,1,0,2,1,1,2,1,1,2,304.95,197,39.678,1580,33.5,0.5,73.6,0.558375635,20.25346873,3.079,4.257049486,32,4.7,0.3566,34.3424,158.484102,1,-24,-58,15.51455779,34,10,85,27,1829673
PA,Panama,53.934603,10.88365332,130,15.68627451,-5.063291139,7374.439284,28294.04091,32.05621399,8023.875418,15832.53326,59.79069038,55284.91498,96,95,33,2,0,2.439619419,99.79152831,77.14244508,98.73881985,1.374045802,1.572377598,1.955725226,324,2845.63,6393.92,2,1,1,1,71.15384615,3,80.76923077,86.53846154,43,30.76923077,95.03823,9.9,1,1,2,69.23076923,61.53846154,51.92307692,34.61538462,64.44444444,4,2,1,1,1,2,1,2,1,1,2,57.843,4.099,67.365,13100,50.4,0.5,92.4,31.71505245,58.88782375,1.826,7.08426704,37,6.51148137,0.6092,1.803261,2.187145,0,-8,4,54,59,51,75,79,446076
